Player,Goals,Appearances
Lionel Messi,125,156
Karim Benzema,15,12
Robert Lewandowski,13,10
Raúl González,71,142
Ruud van Nistelrooy,56,73
Thomas Müller,52,10
Thierry Henry,50,112
Zlatan Ibrahimović,48,124
Andriy Shevchenko,48,100
Filippo Inzaghi,46,81
Didier Drogba,44,92
Alessandro Del Piero,42,88
Sergio Agüero,41,79
Neymar,41,75
Mohamed Salah,36,13
Edinson Cavani,35,70
Fernando Morientes,33,93
Arjen Robben,31,110
Samuel Eto’o,30,78
Kaká,30,86
Wayne Rooney,30,85
Antoine Griezmann,29,79
Patrick Kluivert,29,71
Roy Makaay,29,61
David Trezeguet,29,58
Ryan Giggs,28,141
Rivaldo,27,73
Luis Suárez,27,73
Hernán Crespo,25,65
Giovane Elber,25,69
Edin Džeko,25,62
Robin van Persie,25,59
Gonzalo Higuaín,24,83
Luís Figo,24,103
Sadio Mané,24,13
Paul Scholes,24,124
Raheem Sterling,24,12
Frank Lampard,23,105
Jari Litmanen,23,57
Álvaro Morata,23,67
Ángel Di María,22,99
Steven Gerrard,21,73
Mario Mandžukić,21,60
Claudio Pizarro,21,73
Marco Reus,21,56
Nicolas Anelka,20,68
Gareth Bale,20,66
Cesc Fàbregas,20,104
Fernando Torres,20,79
Ole Gunnar Solskjær,19,77
Willian,18,71
Lucho González,18,63
Juninho Pernambucano,18,59
Franck Ribéry,18,87
Javier Saviola,18,56
Francesco Totti,17,57
Michael Ballack,16,93
David Beckham,16,107
Roberto Carlos,16,120
Guti,16,97
Gerard Piqué,16,124
Pedro Rodríguez,16,76
Iván Helguera,15,87
Pavel Nedvěd,15,74
Sergio Ramos,15,129
Arturo Vidal,15,83
Theo Walcott,15,59
Sylvain Wiltord,15,76
Adriano,14,56
Robert Pirès,14,82
Zinédine Zidane,14,80
Dimitar Berbatov,13,60
Deco,13,75
Fredrik Ljungberg,13,64
Alexis Sánchez,13,64
Dani Alves,12,111
Kevin De Bruyne,12,10
Mario Götze,12,62
Roy Keane,12,71
Mehmet Scholl,12,70
Bastian Schweinsteiger,12,95
Wesley Sneijder,12,76
Douglas Costa,11,76
Michael Essien,11,76
Sidney Govou,11,73
Xavi Hernández,11,151
Andrés Iniesta,11,130
Toni Kroos,11,12
Bernardo Silva,11,11
Mesut Özil,11,69
Christian Panucci,11,74
Miralem Pjanić,11,83
Tomáš Rosický,11,70
Clarence Seedorf,11,125
Dejan Stanković,11,87
Roar Strand,11,71
Ricardo Quaresma,10,60
Jefferson Farfán,10,60
İlkay Gündoğan,10,10
David Silva,10,70
Joshua Kimmich,10,61
Saúl Ñíguez,10,64
Ivan Rakitić,10,85
John Terry,10,109
